PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,3:00 PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,+/-
Kyle Anderson,MIN,29,69,36,33,1956.6,647,252,495,43,105,100,136,66,302,368,335,103,78,63,91
Jalen Smith,IND,23,68,31,37,1278.8,642,242,508,54,191,104,137,129,265,394,66,72,21,60,-95
Grant Williams,BOS,24,79,55,24,2044.8,641,216,476,115,291,94,122,87,276,363,131,82,41,31,206
AJ Griffin,ATL,19,72,34,38,1401.4,639,248,533,101,259,42,47,37,116,153,73,42,42,12,63
Georges Niang,PHI,30,78,51,27,1511.8,637,222,502,154,384,39,45,19,166,185,77,54,31,14,75
Shake Milton,PHI,26,76,52,24,1567.4,637,241,503,56,148,99,116,39,152,191,240,94,25,13,144
Bol Bol,ORL,23,70,26,44,1505.4,634,261,478,30,113,82,108,69,336,405,69,112,30,85,-146
Andrew Wiggins,GSW,28,37,19,18,1190.3,633,250,529,89,225,44,72,61,125,186,85,48,45,28,118
Jarred Vanderbilt,LAL,24,78,43,35,1879.7,619,247,451,29,90,96,139,170,412,582,184,97,83,21,-101
Draymond Green,GSW,33,73,41,32,2297.6,617,250,474,40,131,77,108,66,459,525,500,204,74,61,346
Al Horford,BOS,37,63,44,19,1921.4,616,228,479,145,325,15,21,73,317,390,189,37,30,61,309
Jeremy Sochan,SAS,20,56,15,41,1457.7,614,250,552,33,134,81,116,95,200,295,142,97,43,23,-235
Damion Lee,PHX,30,74,40,34,1506.3,604,200,452,110,247,94,104,39,186,225,99,78,30,7,79
Karl-Anthony Towns,MIN,27,29,15,14,957,602,212,428,60,164,118,135,48,188,236,140,86,20,17,39
Moritz Wagner,ORL,26,57,27,30,1109.5,600,198,396,51,163,153,182,69,190,259,84,68,37,13,-27
Torrey Craig,PHX,32,79,44,35,1947.8,588,228,500,100,253,32,45,145,281,426,117,73,50,62,-177
Thomas Bryant,DEN,25,59,33,26,1081.5,579,230,369,26,59,93,126,86,253,339,31,38,16,30,-93
Kevon Looney,GSW,27,82,44,38,1957.6,578,242,384,0,1,94,155,274,486,760,207,45,52,50,157
Isaiah Stewart,DET,22,50,12,38,1414.1,567,195,441,67,205,110,149,115,288,403,70,68,20,34,-226
Joe Harris,BKN,31,74,40,34,1527.2,562,201,440,142,333,18,28,23,141,164,101,41,34,13,-24
Trey Lyles,SAC,27,74,43,31,1247.2,562,187,408,87,240,101,124,68,232,300,66,64,27,31,105
Reggie Bullock,DAL,32,78,37,41,2364.5,561,192,470,151,397,26,37,32,251,283,108,36,54,13,-87
Brandon Clarke,MEM,26,56,32,24,1090.1,559,229,349,1,6,100,139,92,218,310,72,55,34,37,-14
Dorian Finney-Smith,BKN,30,66,31,35,2008.8,551,196,501,114,338,45,59,114,202,316,100,62,55,36,-8
Jordan Nwora,IND,24,62,36,26,1188.1,542,194,445,86,211,68,86,51,178,229,88,66,24,14,-252
Troy Brown Jr.,LAL,23,76,40,36,1859.8,541,200,465,107,281,34,39,62,246,308,95,49,59,16,-15
Terrence Ross,PHX,32,63,27,36,1330.5,522,200,465,95,258,27,34,22,132,154,95,43,35,10,-76
Drew Eubanks,POR,26,78,31,47,1583.7,518,214,334,7,18,83,125,132,286,418,103,67,40,102,-131
Sam Hauser,BOS,25,80,55,25,1289.9,512,180,396,140,335,12,17,35,169,204,71,30,29,21,219
Kevin Love,MIA,34,62,35,27,1239.5,509,165,424,99,296,80,91,59,340,399,116,70,16,12,109
Precious Achiuwa,TOR,23,55,30,25,1140.5,508,196,404,29,108,87,124,100,228,328,50,59,31,30,-37
Dwight Powell,DAL,31,76,37,39,1457.9,506,197,269,0,5,112,168,149,165,314,69,65,48,26,166
Marvin Bagley III,DET,24,42,7,35,990.5,504,202,382,19,66,81,108,94,175,269,36,46,19,30,-229
Khris Middleton,MIL,31,33,25,8,800.8,497,177,406,51,162,92,102,28,112,140,163,71,23,5,132
Obi Toppin,NYK,25,67,37,30,1050.5,497,187,419,85,247,38,47,29,158,187,66,38,23,12,57
Taurean Prince,MIN,29,54,31,23,1192.5,493,177,379,74,194,65,77,15,117,132,84,69,28,15,0
Isaac Okoro,CLE,22,76,48,28,1652.6,490,175,354,62,171,78,103,52,135,187,87,42,56,30,126
Nicolas Batum,LAC,34,78,44,34,1709.6,478,160,381,124,317,34,48,62,237,299,121,50,54,44,165
David Roddy,MEM,22,70,44,26,1258.5,466,180,420,65,212,41,65,50,143,193,59,57,29,19,-61
Trendon Watford,POR,22,62,26,36,1181.6,459,181,323,25,64,72,100,42,196,238,130,71,32,12,-181
Isaiah Jackson,IND,21,63,24,39,1042.3,455,179,318,2,14,95,146,113,169,282,51,51,31,93,-124
Larry Nance Jr.,NOP,30,65,34,31,1380.8,441,186,305,14,42,55,79,106,248,354,119,42,56,37,185
Jeff Green,DEN,36,56,33,23,1091.1,437,160,328,30,104,87,117,38,106,144,69,46,18,17,-193
Mitchell Robinson,NYK,25,59,35,24,1588.8,435,188,280,0,0,59,122,267,288,555,53,41,56,109,185
Xavier Tillman,MEM,24,61,40,21,1180.1,429,188,306,4,15,49,89,121,186,307,96,44,58,29,-1
Kenrich Williams,OKC,28,53,26,27,1206,425,179,346,50,134,17,39,97,164,261,105,32,45,14,75
Anthony Lamb,GSW,25,62,36,26,1195,415,148,314,73,199,46,60,56,159,215,96,54,28,20,32
Kevin Knox II,POR,23,63,12,51,951.7,415,152,332,65,186,46,60,34,143,177,33,50,24,12,-226
Isaiah Hartenstein,NYK,25,82,47,35,1628.2,406,175,327,8,37,48,71,209,327,536,102,66,53,64,151
Oshae Brissett,IND,25,65,27,38,1083.2,398,123,319,48,155,104,145,62,156,218,44,34,33,13,22
Jalen Johnson,ATL,21,70,35,35,1041.6,395,158,322,30,104,49,78,51,231,282,83,41,38,34,-10
Cam Reddish,POR,23,40,14,26,989.6,387,139,312,45,144,64,75,18,70,88,57,47,39,14,-193
Mike Muscala,BOS,31,63,32,31,945.1,383,131,292,81,207,40,52,37,166,203,50,23,15,24,204
Wenyen Gabriel,LAL,26,68,37,31,1023.8,372,155,260,10,36,52,84,116,170,286,36,46,26,35,-32
JaMychal Green,GSW,33,57,30,27,796.7,366,136,252,42,111,52,67,72,133,205,51,52,25,23,-156
Dario Saric,OKC,29,57,26,31,806,362,127,277,45,115,63,76,53,154,207,74,55,20,7,37
Nassir Little,POR,23,54,22,32,976.1,359,134,303,58,158,33,46,27,114,141,50,36,20,20,-190
Isaiah Livers,DET,24,52,10,42,1198.7,346,120,288,74,203,32,39,28,115,143,41,30,28,28,-202
Lamar Stevens,CLE,25,62,39,23,1120.5,328,129,288,30,95,40,57,48,159,207,33,27,27,19,6
Simone Fontecchio,UTA,27,52,25,27,765.8,328,115,312,63,191,35,44,31,55,86,42,39,15,8,-205
Yuta Watanabe,BKN,28,58,30,28,927.8,322,114,232,60,135,34,47,30,111,141,48,22,25,17,-7
Chimezie Metu,SAC,26,66,41,25,689,321,129,219,9,38,54,73,47,151,198,40,32,22,21,88
Montrezl Harrell,PHI,29,57,35,22,681.1,320,125,209,0,6,70,101,67,92,159,33,35,17,25,19
Derrick Jones Jr.,CHI,26,64,29,35,893.4,319,115,230,27,80,62,84,60,93,153,34,25,29,37,122
Joe Ingles,MIL,35,46,32,14,1043.5,317,108,248,83,203,18,21,13,115,128,150,55,33,6,80
T.J. Warren,PHX,29,42,26,16,686.7,314,132,270,22,67,28,35,26,95,121,40,20,22,12,55
Ty Jerome,GSW,25,45,22,23,815.6,309,118,242,35,90,38,41,7,71,78,135,30,23,5,-92
Romeo Langford,SAS,23,43,14,29,844.3,297,121,259,16,61,39,56,57,57,114,50,30,24,13,-180
Vlatko Cancar,DEN,26,60,38,22,889,297,108,227,43,115,38,41,24,104,128,80,37,22,14,-66
Matisse Thybulle,POR,26,71,38,33,1200.4,293,110,253,54,148,19,28,40,100,140,53,24,83,32,-14
Rudy Gay,UTA,36,56,29,27,815.6,293,109,288,33,131,42,49,33,130,163,57,37,19,18,57
Jeremiah Robinson-Earl,OKC,22,43,16,27,813.7,292,110,248,37,111,35,42,71,109,180,43,19,24,11,-10
Ben Simmons,BKN,26,42,24,18,1105,291,133,235,0,2,25,57,40,223,263,256,97,54,24,40
Jaylin Williams,OKC,21,49,23,26,914.2,288,102,234,46,113,38,54,44,197,241,76,37,28,12,-90
Robert Covington,LAC,32,48,20,28,778.6,288,102,229,54,136,30,40,31,135,166,57,32,38,33,-7
Paul Reed,PHI,24,69,44,25,755.2,287,124,209,1,6,38,51,112,150,262,27,45,45,51,-17
Jae'Sean Tate,HOU,27,31,7,24,677.5,283,110,229,13,46,50,69,41,77,118,84,47,21,7,-94
Robert Williams III,BOS,25,35,24,11,823.5,279,127,170,0,1,25,41,104,188,292,50,34,22,48,173
Eugene Omoruyi,DET,26,40,10,30,645.3,278,101,228,25,89,51,75,43,68,111,28,34,28,3,-41
Zeke Nnaji,DEN,22,53,34,19,727.8,277,110,196,17,65,40,62,65,73,138,18,31,17,23,-97
Aleksej Pokusevski,OKC,21,34,16,18,701.3,276,108,249,38,104,22,35,45,114,159,64,43,20,43,-196
Danuel House Jr.,PHI,30,56,38,18,807,268,93,197,37,110,45,60,9,85,94,44,26,14,9,-16
Duncan Robinson,MIA,29,42,19,23,690.5,268,88,237,63,192,29,32,8,61,69,46,28,14,0,-56
MarJon Beauchamp,MIL,22,52,34,18,701.4,266,96,243,47,142,27,37,38,77,115,35,45,21,7,-99
P.J. Tucker,PHI,38,75,48,27,1920.1,266,96,225,55,140,19,23,95,200,295,60,44,39,15,135
Sandro Mamukelashvili,SAS,24,43,23,20,659.7,263,97,230,30,99,39,57,70,115,185,62,35,14,12,-114
JT Thor,CHA,20,69,22,47,968.8,262,95,238,39,123,33,47,36,116,152,36,44,22,23,-163
Willy Hernangomez,NOP,29,38,23,15,457.7,262,89,169,3,11,81,104,58,122,180,33,39,17,13,19
Luke Kornet,BOS,27,69,45,24,804.1,261,113,170,3,13,32,39,86,111,197,53,25,11,46,61
Ish Wainright,PHX,28,60,33,27,915.1,251,84,227,57,173,26,31,45,94,139,53,22,38,22,92
Thaddeus Young,TOR,35,54,23,31,795.5,240,108,198,6,34,18,26,71,95,166,75,42,54,5,-92
Haywood Highsmith,MIA,26,54,28,26,969.4,236,93,216,37,109,13,28,57,131,188,43,45,36,17,-103
Jaxson Hayes,NOP,23,47,22,25,610.1,233,86,156,3,29,58,83,39,93,132,34,31,20,19,-70
Usman Garuba,HOU,21,75,21,54,970.2,225,86,177,24,59,29,47,120,187,307,64,47,44,29,-253
Darius Bazley,PHX,23,43,19,24,616.2,224,83,183,20,53,38,70,34,104,138,38,27,22,34,-70
Svi Mykhailiuk,CHA,26,32,16,16,467.9,222,77,173,42,99,26,39,15,38,53,53,24,15,4,20
Maxi Kleber,DAL,31,37,18,19,929.8,220,77,169,39,112,27,38,30,105,135,52,27,12,30,-43
Jabari Walker,POR,20,56,21,35,619.2,216,83,198,16,56,34,45,48,83,131,34,29,10,13,-115
Lindy Waters III,OKC,25,41,20,21,530.8,214,70,178,58,162,16,20,16,59,75,28,10,14,11,136
Ziaire Williams,MEM,21,37,21,16,560.8,210,84,196,25,97,17,22,16,63,79,35,37,14,6,-76
Davis Bertans,DAL,30,45,20,25,491.8,206,69,160,55,141,13,15,10,43,53,21,10,11,8,-37
Dean Wade,CLE,26,44,30,14,891.6,206,73,177,45,127,15,23,20,130,150,37,17,28,21,108
Justin Holiday,DAL,34,46,18,28,706.1,205,77,204,46,143,5,8,5,50,55,41,22,19,19,-129
Charles Bassey,SAS,22,35,9,26,507.9,199,87,135,3,8,22,37,75,118,193,48,41,16,33,-32
Justise Winslow,POR,27,29,15,14,775.8,196,81,198,14,45,20,28,49,96,145,98,43,30,11,-38
Anthony Gill,WAS,30,59,21,38,624.6,195,71,132,4,29,49,67,37,62,99,34,15,7,12,-12
Ousmane Dieng,OKC,20,39,20,19,568.7,193,76,181,26,98,15,23,19,86,105,46,26,14,7,39
JaVale McGee,DAL,35,42,20,22,354.5,186,80,125,2,5,24,41,30,77,107,11,36,4,26,-57
Stanley Johnson,SAS,27,30,5,25,469.5,174,65,122,18,40,26,39,22,73,95,67,33,16,6,-92
Amir Coffey,LAC,26,50,26,24,625.3,172,56,145,11,40,49,63,17,36,53,53,21,7,5,-114
Isaiah Roby,NYK,25,42,9,33,473.6,172,67,155,18,60,20,41,21,87,108,38,31,18,7,-110
Blake Griffin,BOS,34,41,27,14,568.9,170,63,130,23,66,21,32,47,108,155,61,22,14,9,105
Taj Gibson,WAS,38,49,21,28,480.4,168,65,125,8,24,30,42,32,61,93,34,26,15,12,-4
Goga Bitadze,ORL,23,38,13,25,456.8,167,69,125,6,26,23,42,61,76,137,39,22,16,26,26
Evan Fournier,NYK,30,27,15,12,458.7,165,56,166,35,114,18,21,4,45,49,36,22,16,3,-54
Julian Champagnie,SAS,22,17,7,10,320.1,165,59,130,33,82,14,17,10,50,60,10,11,6,5,-74
Kai Jones,CHA,22,46,13,33,549.6,157,67,120,4,19,19,26,37,86,123,15,31,17,30,-32
Admiral Schofield,ORL,26,37,14,23,451.3,155,55,122,24,74,21,23,23,39,62,31,16,8,5,-79
Juan Toscano-Anderson,UTA,30,52,19,33,700.1,155,64,143,8,43,19,24,28,96,124,65,34,16,10,-147
Bruno Fernando,ATL,24,39,13,26,405.1,153,59,112,0,4,35,50,54,83,137,31,25,6,34,-75
Dalano Banton,TOR,23,31,17,14,278.5,142,55,130,15,51,17,24,11,34,45,36,18,13,13,-34
Furkan Korkmaz,PHI,25,37,24,13,353.5,140,48,111,18,46,26,36,6,36,42,22,24,10,3,2
Nathan Knight,MIN,25,38,19,19,290.7,139,46,81,8,22,39,57,22,34,56,13,21,10,6,-9
Markieff Morris,DAL,33,35,17,18,355.1,132,47,115,28,71,10,10,13,58,71,31,18,9,5,10
Richaun Holmes,SAC,29,42,22,20,347.6,130,55,89,5,8,15,19,29,51,80,9,14,3,11,-69
Chuma Okeke,ORL,24,27,8,19,518,128,43,122,26,86,16,21,26,70,96,37,17,19,11,-118
Udoka Azubuike,UTA,23,36,17,19,358.5,125,59,72,0,0,7,20,31,88,119,11,18,6,15,-83
Jae Crowder,MIL,32,18,13,5,339.7,124,45,94,24,55,10,12,17,52,69,27,7,12,6,0
Juancho Hernangomez,TOR,27,42,20,22,613.5,122,48,114,17,67,9,16,27,96,123,25,15,16,6,13
Matt Ryan,MIN,26,34,15,19,310.2,122,40,108,32,84,10,12,4,22,26,16,7,5,1,21
Patrick Baldwin,GSW,20,31,15,16,225.8,122,43,109,32,84,4,6,1,39,40,11,11,6,4,-51
Kenneth Lofton Jr.,MEM,20,24,15,9,176,120,49,93,6,17,16,27,19,32,51,20,12,5,2,-48
Dominick Barlow,SAS,20,28,5,23,407.6,110,46,86,0,4,18,25,46,56,102,24,15,10,19,-108
Jake LaRavia,MEM,21,35,22,13,414.3,105,37,95,24,71,7,9,19,44,63,21,18,12,4,-78
Kessler Edwards,SAC,22,36,17,19,385.8,100,36,93,17,55,11,15,23,38,61,23,13,14,6,5
Cody Zeller,MIA,30,15,6,9,216.6,98,37,59,0,2,24,35,25,39,64,10,14,3,4,-48
Jamal Cain,MIA,24,18,10,8,240,98,37,66,7,20,17,22,15,37,52,12,6,11,1,22
Theo Pinson,DAL,27,40,19,21,323,95,31,87,22,62,11,13,10,53,63,46,12,6,1,-50
Frank Kaminsky,HOU,30,36,13,23,234.9,89,31,63,13,33,14,16,7,45,52,32,9,6,4,-4
Terry Taylor,CHI,23,31,13,18,263.4,89,39,75,5,19,6,11,27,20,47,10,9,3,6,18
Dalen Terry,CHI,20,38,19,19,213.9,85,32,72,7,27,14,21,12,25,37,22,8,11,5,12
Nikola Jovic,MIA,20,15,7,8,204.5,82,28,69,8,35,18,19,9,22,31,10,10,7,2,-16
Luka Samanic,UTA,23,7,2,5,160.8,69,26,57,8,31,9,13,0,30,30,15,10,6,2,-6
Serge Ibaka,MIL,33,16,11,5,185.4,66,26,54,6,18,8,13,15,29,44,4,11,2,7,-25
Moussa Diabate,LAC,21,22,10,12,195.5,59,24,47,1,2,10,16,31,19,50,4,9,7,8,-22
Mamadi Diakite,CLE,26,22,15,7,175.9,57,24,50,7,21,2,2,8,22,30,8,12,4,9,-9
Jonathan Isaac,ORL,25,11,8,3,124,55,22,53,6,15,5,9,15,29,44,6,4,14,4,-19
James Johnson,IND,36,18,7,11,162.4,51,22,49,3,15,4,8,4,26,30,15,8,7,6,-7
Thanasis Antetokounmpo,MIL,30,37,25,12,206.2,51,20,46,0,8,11,22,15,29,44,15,12,3,3,-114
Garrett Temple,NOP,37,25,16,9,161.8,50,18,45,11,26,3,4,5,12,17,13,4,9,2,-17
Daniel Theis,IND,31,7,1,6,108.8,49,21,44,2,11,5,12,7,15,22,9,3,2,6,-19
Josh Minott,MIN,20,15,7,8,96.2,46,18,36,2,6,8,8,5,20,25,5,3,4,6,24
KZ Okpala,SAC,24,35,19,16,248,46,16,38,7,21,7,8,7,27,34,13,7,7,7,-11
John Butler Jr.,POR,20,19,4,15,221.1,45,17,53,8,35,3,4,3,14,17,11,1,7,9,-70
Jarrett Culver,ATL,24,10,5,5,136.9,44,17,43,1,12,9,13,10,28,38,6,7,6,2,-19
Otto Porter Jr.,TOR,30,8,4,4,146.3,44,15,30,6,17,8,8,6,13,19,8,4,11,0,-21
Meyers Leonard,MIL,31,9,6,3,113.7,43,14,29,7,18,8,9,12,22,34,1,6,2,0,-27
Xavier Cooks,WAS,27,10,2,8,125.8,38,17,28,0,1,4,10,16,22,38,6,8,6,4,19
Cody Martin,CHA,27,7,2,5,133.7,35,14,36,3,14,4,7,8,16,24,11,2,4,1,-26
Nerlens Noel,BKN,29,17,4,13,194.7,35,13,36,1,2,8,12,10,36,46,10,13,16,10,-75
Isaiah Mobley,CLE,23,12,8,4,84.2,31,12,28,3,8,4,4,4,16,20,3,1,4,3,31
Greg Brown III,POR,21,16,10,6,93.1,28,11,28,1,7,5,12,2,17,19,3,6,4,5,-5
Udonis Haslem,MIA,43,7,4,3,72.1,27,10,29,3,9,4,5,4,7,11,0,1,1,2,-25
Noah Vonleh,BOS,27,23,17,6,171.6,25,11,24,1,4,2,2,18,30,48,7,11,2,8,-13
Jarrell Brantley,UTA,27,4,0,4,39,22,8,14,4,9,2,2,1,5,6,3,2,0,2,15
PJ Dozier,SAC,26,16,11,5,79.3,22,10,33,2,16,0,0,1,13,14,10,5,6,1,-23
Jack White,DEN,25,17,13,4,66,21,8,19,3,9,2,3,6,11,17,4,2,3,2,-17
Justin Jackson,BOS,28,23,15,8,107.4,20,7,27,5,20,1,2,2,15,17,9,2,4,4,-71
Louis King,PHI,24,1,1,0,28.8,20,8,13,4,8,0,1,2,2,4,2,2,1,0,2
Ron Harper Jr.,TOR,23,9,6,3,47.5,20,8,16,3,9,1,1,3,4,7,4,0,0,1,19
Tony Bradley,CHI,25,12,5,7,33.4,19,6,12,3,5,4,4,1,10,11,1,1,1,1,11
Andre Iguodala,GSW,39,8,3,5,112.6,17,7,15,1,9,2,3,3,14,17,19,9,4,3,35
Justin Minaya,POR,24,4,0,4,88.8,17,7,23,3,12,0,1,3,12,15,4,4,2,5,-20
Xavier Sneed,CHA,25,4,0,4,48.2,17,5,10,3,6,4,4,0,5,5,5,3,0,1,-28
Buddy Boeheim,DET,23,10,2,8,90.1,16,5,27,4,25,2,2,2,4,6,4,0,2,0,3
RaiQuan Gray,BKN,23,1,0,1,35.1,16,6,12,2,5,2,2,3,6,9,7,4,0,1,-14
Darius Days,HOU,23,4,0,4,25,15,5,12,3,10,2,2,1,5,6,1,0,0,1,1
Justin Champagnie,BOS,22,5,4,1,34.3,11,5,15,1,5,0,0,3,5,8,4,0,1,0,-4
Cole Swider,LAL,24,7,2,5,41.1,9,3,9,3,8,0,0,1,6,7,4,0,0,0,3
Isaiah Todd,WAS,21,6,2,4,61.4,9,3,19,1,10,2,2,2,10,12,4,2,1,0,-7
Joe Wieskamp,TOR,23,9,6,3,49.7,9,3,14,3,12,0,0,0,4,4,3,1,0,0,2
Alize Johnson,SAS,27,4,1,3,29.5,7,3,6,0,2,1,2,2,8,10,1,4,1,0,12
Leandro Bolmaro,UTA,22,14,8,6,68.5,6,3,20,0,4,0,0,4,3,7,7,7,3,1,2
Dylan Windler,CLE,26,3,3,0,10.4,5,2,3,1,2,0,0,0,0,0,1,1,1,0,-1
Malcolm Hill,CHI,27,5,4,1,9.2,5,2,4,1,3,0,0,0,3,3,0,0,0,0,9
